Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2020-10-05,515.2138061523438,515.6927134989223,508.1371490410111,509.64472208850816,435300
2020-10-06,514.5486450195312,523.7447691703331,512.6863841424816,515.213745922199,704300
2020-10-07,525.0305786132812,525.6868027648438,518.1756234543321,518.1756234543321,573500
2020-10-08,536.01806640625,537.5877216951286,527.0613968237312,527.9658971524364,538100
2020-10-09,542.341064453125,544.762014623386,537.9159347330423,541.4808390673273,525100
2020-10-12,545.2852783203125,550.4020851467138,544.1944758876424,545.710925634882,644700
2020-10-13,566.6305541992188,573.130768482893,555.2794547378381,562.3827415109682,1154900
2020-10-14,567.4197387695312,570.6211323084183,562.2763025205276,569.1756419902362,694200
2020-10-15,573.08642578125,575.4453473947827,561.0259505444413,562.3118231701285,792700
2020-10-16,582.965576171875,584.9076736278203,574.6473737465083,578.2300323320125,765500
2020-10-19,563.021240234375,591.177179003297,561.37180295344,583.7369037682807,775700
2020-10-20,572.0488891601562,577.2898607351938,564.5554077681552,564.5554077681552,473500
2020-10-21,563.1099243164062,579.7196946220967,562.9591832572632,573.3879747514993,452600
2020-10-22,563.2784423828125,565.6284874746633,558.5252004122898,563.1188246441818,483300
2020-10-23,565.167236328125,566.8077967982009,561.797402797724,565.6638428049625,494200
2020-10-26,551.7587890625,560.0947412113767,546.1187469495381,558.6847036201139,686100
2020-10-27,544.9658813476562,553.8782211748814,544.0258202631164,550.100439999355,349800
2020-10-28,532.7103881835938,537.8006186010632,528.7641118713645,534.4662373046723,645600
2020-10-29,534.14697265625,537.9247543626783,523.4432758633861,532.2669584750494,447400
2020-10-30,531.3802490234375,532.8523154284842,521.3505280595678,529.9347585129702,530400
2020-11-02,545.2673950195312,548.3534455667733,537.8005448170671,540.0264242667793,462400
2020-11-03,558.0286254882812,561.6467901472149,548.9300349880832,550.6149792014751,560400
2020-11-04,577.839599609375,583.497395197343,556.7426200312609,557.168267256974,811700
2020-11-05,592.5516967773438,595.9304071887739,585.0937224909343,586.1933473202218,714400
2020-11-06,580.7662353515625,592.3833115778906,580.1365868972882,590.6629147654513,493900
2020-11-09,590.6273803710938,614.3138068983818,588.1088410289736,607.5652624386835,870000
2020-11-10,585.8209228515625,591.0885247900558,572.0932559138158,586.2377476121828,758000
2020-11-11,594.7066040039062,599.2558983950581,591.5230180729275,594.8573450494667,455800
2020-11-12,585.1024169921875,592.9772142653596,580.7393711925233,590.3966471501418,501700
2020-11-13,593.9528198242188,595.1322263755552,583.7723058804679,585.2887553228173,664100
2020-11-16,599.8589477539062,605.2418376993402,593.5094747811971,605.2418376993402,607600
2020-11-17,591.930908203125,599.8855428959798,589.288258019449,599.8855428959798,768900
2020-11-18,594.0593872070312,600.0541731734833,593.22579174792,594.8663526443333,509000
2020-11-19,597.2427978515625,598.8922890619239,588.1619630904547,590.5829128150501,471200
2020-11-20,596.56005859375,599.2559147737991,593.2700066351041,597.7217660082177,396200
2020-11-23,605.5699462890625,611.0060421113711,597.562159397939,600.2580156281173,505400
2020-11-24,620.1400146484375,621.3460511857774,608.7889710963225,616.0341211178062,652000
2020-11-25,623.9622802734375,624.5387227971023,617.5861764490015,619.0937495580754,401200
2020-11-27,634.1602783203125,637.476905547634,625.318897937642,626.7466346208832,313400
2020-11-30,619.297607421875,632.4577612801996,618.7477949981468,629.9037694485357,888400
2020-12-01,634.2669067382812,638.9492438061731,625.3723174204871,629.3362934400936,549500
2020-12-02,637.04248046875,637.4415518235779,628.7242810990684,634.0628415045188,484100
2020-12-03,637.6576538085938,643.3620297691144,634.3955001868136,640.2780936953199,604400
2020-12-04,627.00634765625,641.9981053703266,620.8385318417328,635.8748439288487,816100
2020-12-07,632.3720703125,632.452311710913,623.049053434912,626.3201280418143,680600
2020-12-08,636.3204956054688,640.4472424009255,627.0152685678976,629.9654861515988,598200
2020-12-09,625.4109497070312,638.3081626619272,621.0970635312431,638.0318602597629,489400
2020-12-10,622.4962768554688,626.3556425873359,618.7884721363721,623.5480645873087,438600
2020-12-11,619.6354370117188,621.2665408944767,614.5104316891407,617.0506299582098,488100
2020-12-14,609.581298828125,624.4037052927634,609.171333345762,624.3859161854475,658500
2020-12-15,622.2913818359375,627.5946580069773,615.2946586327564,616.3553138669644,617300
2020-12-16,622.460693359375,631.7569983525622,618.1645965596736,627.4787450618742,849400
2020-12-17,629.2703857421875,632.5414605564213,623.2807865783573,626.5875484167913,832200
